period,interest,riskGroup,gyraMaisFee,bankFee,partnerFee,type
16,0.0225,5,0.044,0.006,0.015,"09196078000106,29479927000138,26794946000160,33650301000110,08985995000107,23721750000158,27188579000114,12702717000164,28977040000107,41924082000148,"
16,0.0225,5,0.044,0.006,0.02,"23690474000108,17503933000102,27719400000108,30256562000161,16932748000162,15111975000164,73499238000187,"
16,0.0225,5,0.044,0.006,0.025,"18552346000168,"
16,0.0225,5,0.044,0.006,0.0275,"17991841000100,"
16,0.03,4,0.044,0.006,0.0,"37588012000199,25163107000181,05592528000110,35208518000108,35896889000111,22153470000128,82937293000100,05725559000100,40225022000174,37942245000148,28780537000130,11742857000101,18727053000174,16501555000157,37375198000106,79750152000161,31056065000182,33946231000141,10463951000150,33657248000189,27734451000109,20855875000182,GYRA,"
16,0.03,4,0.044,0.006,0.0001,"75049915000190,"
16,0.03,4,0.044,0.006,0.005,"29494568000198,08640386000108,43059490000104,42232428000100,11158190000196,17894109000112,42958145000140,42447604000120,41681802000191,34976975000171,33294582000115,01532835000155,02047384000123,03796818000150,14490065000177,"
16,0.03,4,0.044,0.006,0.01,"18696927000173,30598075000187,44500339000122,31570433000106,22619138000106,38012186000171,36636352000185,31689620000103,36946097000177,23659025000105,27914090000182,34059872000147,33058052000178,39622491000148,89609851000140,10620932000190,06889250000100,37573613000128,37385874000114,19250309000168,34896052000100,33546628000146,17112767000105,21664157000191,33266898000101,09306604000135,32465248000114,24076128000105,30992707000192,28341296000123,38118327000135,28629250000104,31769665000198,31735612000156,11897817000120,43204704000199,37172981000164,39281210000130,24387319000180,38481109000160,22349842000196,09535727000148,40156387000194,18032084000100,15665964000126,36183091000195,25225706000182,22188135000165,40280209000170,29774565000108,33288665000100,33869229000116,18969415000133,38731792000147,39315420000100,27540211000173,26533790000164,40458764000140,37939272000161,34030055000166,26760734000162,06334222000127,37928180000186,40500032000170,35352465000196,39654393000192,30267316000105,31396240000180,20101730000196,33292874000119,32804920000159,29558757000187,32188814000198,35071561000166,34893460000108,36712631000180,36274164000154,30917917000116,32582856000109,40771520000112,37077762000104,29815401000181,34766093000181,32214696000145,10257807000168,20354810000153,37768558000121,24408289000140,13486486000161,17188060000182,13303397000132,36576329000142,30688514000142,31068314000150,32171096000147,05996222000120,41361672000100,39358493000171,29072820000170,37162748000109,42248182000164,41831151000179,38307475000106,21743699000150,28915727000118,35663685000130,41570301000138,17179359000170,26786644000140,35289055000148,31587484000140,42782728000162,42837497000147,35155654000179,31700851000170,11787949000108,37563031000160,29978175000150,36827544000179,41552607000161,31657907000151,40218850000185,38045664000140,36444674000122,43037011000159,33088484000121,42750456000119,02412812000170,42499146000173,43352321000168,42862495000108,40005744000113,41980316000174,18619450000122,40602284000100,42283377000145,25060390000116,26501229000284,37085266000194,42190478000171,33101133000103,38480239000189,25019277000197,39348929000141,33554516000137,34635413000164,16796280000126,35629479000104,31569951000100,40750178000174,31673780000164,41698581000164,19484977000150,31261619000183,43560534000185,43382968000132,35205713000176,11290027000182,13778198000180,28842422000123,35727824000142,40268379000130,19640071000187,43900099000190,39952418000134,18553292000155,42783694000120,13885290000140,12823388000100,43825210000121,29520353000102,37278898000174,31286996000177,33808062000183,36288957000122,36725501000182,40000935000192,43921372000163,42012282000197,44170279000127,07746938000285,43843435000100,15128352000102,42679680000161,42503348000141,44433690000148,37963771000194,92710597000186,30066006000122,19615240000129,15334538000100,06083089000183,12523811000156,23102266000140,03118450000171,32918215000182,34911536000180,28495236000165,29573368000120,38203264000115,17320095000123,19264388000166,27569906000188,39462482000137,17814862000150,41466661000194,44497939000189,44522660000108,36688196000104,29240060000163,37411689000157,31296153000151,33820778000104,34806971000145,42519809000174,25976940000141,37582930000100,38250701000151,34791440000126,34467224000120,41520281000190,24095261000109,43918407000105,37920988000117,18270257000129,88127655000176,41899632000116,42883168000132,45442550000107,43475970000156,29436892000150,32271271000178,40751980000189,34397731000134,42277573000107,44497095000176,44694308000150,43719281000140,14282003000170,37896589000168,31737462000110,39771642000120,45528529000110,22677662000133,02205849000127,39897395000102,39731375000167,30447830000122,39966336000149,34275525000151,41435259000142,45723388000197,45731686000129,42926780000145,45175729000137,45506640000106,44192382000178,45437200000144,41127417000105,21402734000177,01688385000194,44535238000197,22208602000171,44841249000103,45008291000100,45829696000100,45661933000168,45057891000150,37746649000166,45893582000110,37182621000143,18006295000179,32897863000108,14733107000153,46156795000122,45625979000121,46494108000189,37776850000196,38427210000133,46645062000151,46383533000109,41247827000181,36743659000185,31852178000194,46532973000172,42978356000144,12616492000123,24843210000100,36284433000163,21674763000198,15039046000191,20631733000131,26840524000184,54517628000198,00800199000132,16881561000187,47035961000103,36283402000198,34790447000123,17902712000107,17868301000134,46896279000134,40033116000141,31575336000106,34368000000160,46519763000144,44267371000100,46774353000140,46151682000134,22501342000128,10651866000116,46583172000136,36402379000103,45185662000111,12517073000134,46956642000160,33996366000111,30740888000160,46905708000192,30770695000151,42369408000185,27193833000172,44119665000194,31556105000155,45793219000123,45232324000193,43274056000147,44985287000121,38063252000132,32988219000137,37941625000168,29247262000137,47499729000118,47644693000119,45718411000155,46211885000179,41908469000100,39844328000120,37678004000133,47918213000160,46710016000199,39361477000138,27742328000130,34710503000172,02779256000174,37860928000156,08194413000166,61079232000171,48444417000170,48310037000142,42457953000123,48066772000152,42126269000169,46677425000130,39879188000125,43854370000107,45634358000104,47673123000157,48706341000103,26513744000101,35746852000107,27331229000165,33652365000150,"
16,0.03,4,0.044,0.006,0.015,"09196078000106,29479927000138,26794946000160,33650301000110,08985995000107,23721750000158,27188579000114,12702717000164,28977040000107,41924082000148,"
16,0.03,4,0.044,0.006,0.02,"23690474000108,17503933000102,27719400000108,30256562000161,16932748000162,15111975000164,73499238000187,"
16,0.03,4,0.044,0.006,0.025,"18552346000168,"
16,0.03,4,0.044,0.006,0.0275,"17991841000100,"
16,0.035,3,0.044,0.006,0.0,"37588012000199,25163107000181,05592528000110,35208518000108,35896889000111,22153470000128,82937293000100,05725559000100,40225022000174,37942245000148,28780537000130,11742857000101,18727053000174,16501555000157,37375198000106,79750152000161,31056065000182,33946231000141,10463951000150,33657248000189,27734451000109,20855875000182,GYRA,"
16,0.035,3,0.044,0.006,0.0001,"75049915000190,"
16,0.035,3,0.044,0.006,0.005,"29494568000198,08640386000108,43059490000104,42232428000100,11158190000196,17894109000112,42958145000140,42447604000120,41681802000191,34976975000171,33294582000115,01532835000155,02047384000123,03796818000150,14490065000177,"
16,0.035,3,0.044,0.006,0.01,"18696927000173,30598075000187,44500339000122,31570433000106,22619138000106,38012186000171,36636352000185,31689620000103,36946097000177,23659025000105,27914090000182,34059872000147,33058052000178,39622491000148,89609851000140,10620932000190,06889250000100,37573613000128,37385874000114,19250309000168,34896052000100,33546628000146,17112767000105,21664157000191,33266898000101,09306604000135,32465248000114,24076128000105,30992707000192,28341296000123,38118327000135,28629250000104,31769665000198,31735612000156,11897817000120,43204704000199,37172981000164,39281210000130,24387319000180,38481109000160,22349842000196,09535727000148,40156387000194,18032084000100,15665964000126,36183091000195,25225706000182,22188135000165,40280209000170,29774565000108,33288665000100,33869229000116,18969415000133,38731792000147,39315420000100,27540211000173,26533790000164,40458764000140,37939272000161,34030055000166,26760734000162,06334222000127,37928180000186,40500032000170,35352465000196,39654393000192,30267316000105,31396240000180,20101730000196,33292874000119,32804920000159,29558757000187,32188814000198,35071561000166,34893460000108,36712631000180,36274164000154,30917917000116,32582856000109,40771520000112,37077762000104,29815401000181,34766093000181,32214696000145,10257807000168,20354810000153,37768558000121,24408289000140,13486486000161,17188060000182,13303397000132,36576329000142,30688514000142,31068314000150,32171096000147,05996222000120,41361672000100,39358493000171,29072820000170,37162748000109,42248182000164,41831151000179,38307475000106,21743699000150,28915727000118,35663685000130,41570301000138,17179359000170,26786644000140,35289055000148,31587484000140,42782728000162,42837497000147,35155654000179,31700851000170,11787949000108,37563031000160,29978175000150,36827544000179,41552607000161,31657907000151,40218850000185,38045664000140,36444674000122,43037011000159,33088484000121,42750456000119,02412812000170,42499146000173,43352321000168,42862495000108,40005744000113,41980316000174,18619450000122,40602284000100,42283377000145,25060390000116,26501229000284,37085266000194,42190478000171,33101133000103,38480239000189,25019277000197,39348929000141,33554516000137,34635413000164,16796280000126,35629479000104,31569951000100,40750178000174,31673780000164,41698581000164,19484977000150,31261619000183,43560534000185,43382968000132,35205713000176,11290027000182,13778198000180,28842422000123,35727824000142,40268379000130,19640071000187,43900099000190,39952418000134,18553292000155,42783694000120,13885290000140,12823388000100,43825210000121,29520353000102,37278898000174,31286996000177,33808062000183,36288957000122,36725501000182,40000935000192,43921372000163,42012282000197,44170279000127,07746938000285,43843435000100,15128352000102,42679680000161,42503348000141,44433690000148,37963771000194,92710597000186,30066006000122,19615240000129,15334538000100,06083089000183,12523811000156,23102266000140,03118450000171,32918215000182,34911536000180,28495236000165,29573368000120,38203264000115,17320095000123,19264388000166,27569906000188,39462482000137,17814862000150,41466661000194,44497939000189,44522660000108,36688196000104,29240060000163,37411689000157,31296153000151,33820778000104,34806971000145,42519809000174,25976940000141,37582930000100,38250701000151,34791440000126,34467224000120,41520281000190,24095261000109,43918407000105,37920988000117,18270257000129,88127655000176,41899632000116,42883168000132,45442550000107,43475970000156,29436892000150,32271271000178,40751980000189,34397731000134,42277573000107,44497095000176,44694308000150,43719281000140,14282003000170,37896589000168,31737462000110,39771642000120,45528529000110,22677662000133,02205849000127,39897395000102,39731375000167,30447830000122,39966336000149,34275525000151,41435259000142,45723388000197,45731686000129,42926780000145,45175729000137,45506640000106,44192382000178,45437200000144,41127417000105,21402734000177,01688385000194,44535238000197,22208602000171,44841249000103,45008291000100,45829696000100,45661933000168,45057891000150,37746649000166,45893582000110,37182621000143,18006295000179,32897863000108,14733107000153,46156795000122,45625979000121,46494108000189,37776850000196,38427210000133,46645062000151,46383533000109,41247827000181,36743659000185,31852178000194,46532973000172,42978356000144,12616492000123,24843210000100,36284433000163,21674763000198,15039046000191,20631733000131,26840524000184,54517628000198,00800199000132,16881561000187,47035961000103,36283402000198,34790447000123,17902712000107,17868301000134,46896279000134,40033116000141,31575336000106,34368000000160,46519763000144,44267371000100,46774353000140,46151682000134,22501342000128,10651866000116,46583172000136,36402379000103,45185662000111,12517073000134,46956642000160,33996366000111,30740888000160,46905708000192,30770695000151,42369408000185,27193833000172,44119665000194,31556105000155,45793219000123,45232324000193,43274056000147,44985287000121,38063252000132,32988219000137,37941625000168,29247262000137,47499729000118,47644693000119,45718411000155,46211885000179,41908469000100,39844328000120,37678004000133,47918213000160,46710016000199,39361477000138,27742328000130,34710503000172,02779256000174,37860928000156,08194413000166,61079232000171,48444417000170,48310037000142,42457953000123,48066772000152,42126269000169,46677425000130,39879188000125,43854370000107,45634358000104,47673123000157,48706341000103,26513744000101,35746852000107,27331229000165,33652365000150,"
16,0.035,3,0.044,0.006,0.015,"09196078000106,29479927000138,26794946000160,33650301000110,08985995000107,23721750000158,27188579000114,12702717000164,28977040000107,41924082000148,"
16,0.035,3,0.044,0.006,0.02,"23690474000108,17503933000102,27719400000108,30256562000161,16932748000162,15111975000164,73499238000187,"
16,0.035,3,0.044,0.006,0.025,"18552346000168,"
16,0.035,3,0.044,0.006,0.0275,"17991841000100,"
16,0.04,2,0.044,0.006,0.0,"37588012000199,25163107000181,05592528000110,35208518000108,35896889000111,22153470000128,82937293000100,05725559000100,40225022000174,37942245000148,28780537000130,11742857000101,18727053000174,16501555000157,37375198000106,79750152000161,31056065000182,33946231000141,10463951000150,33657248000189,27734451000109,20855875000182,GYRA,"
16,0.04,2,0.044,0.006,0.0001,"75049915000190,"
16,0.04,2,0.044,0.006,0.005,"29494568000198,08640386000108,43059490000104,42232428000100,11158190000196,17894109000112,42958145000140,42447604000120,41681802000191,34976975000171,33294582000115,01532835000155,02047384000123,03796818000150,14490065000177,"
16,0.04,2,0.044,0.006,0.01,"18696927000173,30598075000187,44500339000122,31570433000106,22619138000106,38012186000171,36636352000185,31689620000103,36946097000177,23659025000105,27914090000182,34059872000147,33058052000178,39622491000148,89609851000140,10620932000190,06889250000100,37573613000128,37385874000114,19250309000168,34896052000100,33546628000146,17112767000105,21664157000191,33266898000101,09306604000135,32465248000114,24076128000105,30992707000192,28341296000123,38118327000135,28629250000104,31769665000198,31735612000156,11897817000120,43204704000199,37172981000164,39281210000130,24387319000180,38481109000160,22349842000196,09535727000148,40156387000194,18032084000100,15665964000126,36183091000195,25225706000182,22188135000165,40280209000170,29774565000108,33288665000100,33869229000116,18969415000133,38731792000147,39315420000100,27540211000173,26533790000164,40458764000140,37939272000161,34030055000166,26760734000162,06334222000127,37928180000186,40500032000170,35352465000196,39654393000192,30267316000105,31396240000180,20101730000196,33292874000119,32804920000159,29558757000187,32188814000198,35071561000166,34893460000108,36712631000180,36274164000154,30917917000116,32582856000109,40771520000112,37077762000104,29815401000181,34766093000181,32214696000145,10257807000168,20354810000153,37768558000121,24408289000140,13486486000161,17188060000182,13303397000132,36576329000142,30688514000142,31068314000150,32171096000147,05996222000120,41361672000100,39358493000171,29072820000170,37162748000109,42248182000164,41831151000179,38307475000106,21743699000150,28915727000118,35663685000130,41570301000138,17179359000170,26786644000140,35289055000148,31587484000140,42782728000162,42837497000147,35155654000179,31700851000170,11787949000108,37563031000160,29978175000150,36827544000179,41552607000161,31657907000151,40218850000185,38045664000140,36444674000122,43037011000159,33088484000121,42750456000119,02412812000170,42499146000173,43352321000168,42862495000108,40005744000113,41980316000174,18619450000122,40602284000100,42283377000145,25060390000116,26501229000284,37085266000194,42190478000171,33101133000103,38480239000189,25019277000197,39348929000141,33554516000137,34635413000164,16796280000126,35629479000104,31569951000100,40750178000174,31673780000164,41698581000164,19484977000150,31261619000183,43560534000185,43382968000132,35205713000176,11290027000182,13778198000180,28842422000123,35727824000142,40268379000130,19640071000187,43900099000190,39952418000134,18553292000155,42783694000120,13885290000140,12823388000100,43825210000121,29520353000102,37278898000174,31286996000177,33808062000183,36288957000122,36725501000182,40000935000192,43921372000163,42012282000197,44170279000127,07746938000285,43843435000100,15128352000102,42679680000161,42503348000141,44433690000148,37963771000194,92710597000186,30066006000122,19615240000129,15334538000100,06083089000183,12523811000156,23102266000140,03118450000171,32918215000182,34911536000180,28495236000165,29573368000120,38203264000115,17320095000123,19264388000166,27569906000188,39462482000137,17814862000150,41466661000194,44497939000189,44522660000108,36688196000104,29240060000163,37411689000157,31296153000151,33820778000104,34806971000145,42519809000174,25976940000141,37582930000100,38250701000151,34791440000126,34467224000120,41520281000190,24095261000109,43918407000105,37920988000117,18270257000129,88127655000176,41899632000116,42883168000132,45442550000107,43475970000156,29436892000150,32271271000178,40751980000189,34397731000134,42277573000107,44497095000176,44694308000150,43719281000140,14282003000170,37896589000168,31737462000110,39771642000120,45528529000110,22677662000133,02205849000127,39897395000102,39731375000167,30447830000122,39966336000149,34275525000151,41435259000142,45723388000197,45731686000129,42926780000145,45175729000137,45506640000106,44192382000178,45437200000144,41127417000105,21402734000177,01688385000194,44535238000197,22208602000171,44841249000103,45008291000100,45829696000100,45661933000168,45057891000150,37746649000166,45893582000110,37182621000143,18006295000179,32897863000108,14733107000153,46156795000122,45625979000121,46494108000189,37776850000196,38427210000133,46645062000151,46383533000109,41247827000181,36743659000185,31852178000194,46532973000172,42978356000144,12616492000123,24843210000100,36284433000163,21674763000198,15039046000191,20631733000131,26840524000184,54517628000198,00800199000132,16881561000187,47035961000103,36283402000198,34790447000123,17902712000107,17868301000134,46896279000134,40033116000141,31575336000106,34368000000160,46519763000144,44267371000100,46774353000140,46151682000134,22501342000128,10651866000116,46583172000136,36402379000103,45185662000111,12517073000134,46956642000160,33996366000111,30740888000160,46905708000192,30770695000151,42369408000185,27193833000172,44119665000194,31556105000155,45793219000123,45232324000193,43274056000147,44985287000121,38063252000132,32988219000137,37941625000168,29247262000137,47499729000118,47644693000119,45718411000155,46211885000179,41908469000100,39844328000120,37678004000133,47918213000160,46710016000199,39361477000138,27742328000130,34710503000172,02779256000174,37860928000156,08194413000166,61079232000171,48444417000170,48310037000142,42457953000123,48066772000152,42126269000169,46677425000130,39879188000125,43854370000107,45634358000104,47673123000157,48706341000103,26513744000101,35746852000107,27331229000165,33652365000150,"
16,0.04,2,0.044,0.006,0.015,"09196078000106,29479927000138,26794946000160,33650301000110,08985995000107,23721750000158,27188579000114,12702717000164,28977040000107,41924082000148,"
16,0.04,2,0.044,0.006,0.02,"23690474000108,17503933000102,27719400000108,30256562000161,16932748000162,15111975000164,73499238000187,"
16,0.04,2,0.044,0.006,0.025,"18552346000168,"
16,0.04,2,0.044,0.006,0.0275,"17991841000100,"
16,0.045,0,0.044,0.006,0.0,"37588012000199,25163107000181,05592528000110,35208518000108,35896889000111,22153470000128,82937293000100,05725559000100,40225022000174,37942245000148,28780537000130,11742857000101,18727053000174,16501555000157,37375198000106,79750152000161,31056065000182,33946231000141,10463951000150,33657248000189,27734451000109,20855875000182,GYRA,"
16,0.045,0,0.044,0.006,0.0001,"75049915000190,"
16,0.045,0,0.044,0.006,0.005,"29494568000198,08640386000108,43059490000104,42232428000100,11158190000196,17894109000112,42958145000140,42447604000120,41681802000191,34976975000171,33294582000115,01532835000155,02047384000123,03796818000150,14490065000177,"
16,0.045,0,0.044,0.006,0.01,"18696927000173,30598075000187,44500339000122,31570433000106,22619138000106,38012186000171,36636352000185,31689620000103,36946097000177,23659025000105,27914090000182,34059872000147,33058052000178,39622491000148,89609851000140,10620932000190,06889250000100,37573613000128,37385874000114,19250309000168,34896052000100,33546628000146,17112767000105,21664157000191,33266898000101,09306604000135,32465248000114,24076128000105,30992707000192,28341296000123,38118327000135,28629250000104,31769665000198,31735612000156,11897817000120,43204704000199,37172981000164,39281210000130,24387319000180,38481109000160,22349842000196,09535727000148,40156387000194,18032084000100,15665964000126,36183091000195,25225706000182,22188135000165,40280209000170,29774565000108,33288665000100,33869229000116,18969415000133,38731792000147,39315420000100,27540211000173,26533790000164,40458764000140,37939272000161,34030055000166,26760734000162,06334222000127,37928180000186,40500032000170,35352465000196,39654393000192,30267316000105,31396240000180,20101730000196,33292874000119,32804920000159,29558757000187,32188814000198,35071561000166,34893460000108,36712631000180,36274164000154,30917917000116,32582856000109,40771520000112,37077762000104,29815401000181,34766093000181,32214696000145,10257807000168,20354810000153,37768558000121,24408289000140,13486486000161,17188060000182,13303397000132,36576329000142,30688514000142,31068314000150,32171096000147,05996222000120,41361672000100,39358493000171,29072820000170,37162748000109,42248182000164,41831151000179,38307475000106,21743699000150,28915727000118,35663685000130,41570301000138,17179359000170,26786644000140,35289055000148,31587484000140,42782728000162,42837497000147,35155654000179,31700851000170,11787949000108,37563031000160,29978175000150,36827544000179,41552607000161,31657907000151,40218850000185,38045664000140,36444674000122,43037011000159,33088484000121,42750456000119,02412812000170,42499146000173,43352321000168,42862495000108,40005744000113,41980316000174,18619450000122,40602284000100,42283377000145,25060390000116,26501229000284,37085266000194,42190478000171,33101133000103,38480239000189,25019277000197,39348929000141,33554516000137,34635413000164,16796280000126,35629479000104,31569951000100,40750178000174,31673780000164,41698581000164,19484977000150,31261619000183,43560534000185,43382968000132,35205713000176,11290027000182,13778198000180,28842422000123,35727824000142,40268379000130,19640071000187,43900099000190,39952418000134,18553292000155,42783694000120,13885290000140,12823388000100,43825210000121,29520353000102,37278898000174,31286996000177,33808062000183,36288957000122,36725501000182,40000935000192,43921372000163,42012282000197,44170279000127,07746938000285,43843435000100,15128352000102,42679680000161,42503348000141,44433690000148,37963771000194,92710597000186,30066006000122,19615240000129,15334538000100,06083089000183,12523811000156,23102266000140,03118450000171,32918215000182,34911536000180,28495236000165,29573368000120,38203264000115,17320095000123,19264388000166,27569906000188,39462482000137,17814862000150,41466661000194,44497939000189,44522660000108,36688196000104,29240060000163,37411689000157,31296153000151,33820778000104,34806971000145,42519809000174,25976940000141,37582930000100,38250701000151,34791440000126,34467224000120,41520281000190,24095261000109,43918407000105,37920988000117,18270257000129,88127655000176,41899632000116,42883168000132,45442550000107,43475970000156,29436892000150,32271271000178,40751980000189,34397731000134,42277573000107,44497095000176,44694308000150,43719281000140,14282003000170,37896589000168,31737462000110,39771642000120,45528529000110,22677662000133,02205849000127,39897395000102,39731375000167,30447830000122,39966336000149,34275525000151,41435259000142,45723388000197,45731686000129,42926780000145,45175729000137,45506640000106,44192382000178,45437200000144,41127417000105,21402734000177,01688385000194,44535238000197,22208602000171,44841249000103,45008291000100,45829696000100,45661933000168,45057891000150,37746649000166,45893582000110,37182621000143,18006295000179,32897863000108,14733107000153,46156795000122,45625979000121,46494108000189,37776850000196,38427210000133,46645062000151,46383533000109,41247827000181,36743659000185,31852178000194,46532973000172,42978356000144,12616492000123,24843210000100,36284433000163,21674763000198,15039046000191,20631733000131,26840524000184,54517628000198,00800199000132,16881561000187,47035961000103,36283402000198,34790447000123,17902712000107,17868301000134,46896279000134,40033116000141,31575336000106,34368000000160,46519763000144,44267371000100,46774353000140,46151682000134,22501342000128,10651866000116,46583172000136,36402379000103,45185662000111,12517073000134,46956642000160,33996366000111,30740888000160,46905708000192,30770695000151,42369408000185,27193833000172,44119665000194,31556105000155,45793219000123,45232324000193,43274056000147,44985287000121,38063252000132,32988219000137,37941625000168,29247262000137,47499729000118,47644693000119,45718411000155,46211885000179,41908469000100,39844328000120,37678004000133,47918213000160,46710016000199,39361477000138,27742328000130,34710503000172,02779256000174,37860928000156,08194413000166,61079232000171,48444417000170,48310037000142,42457953000123,48066772000152,42126269000169,46677425000130,39879188000125,43854370000107,45634358000104,47673123000157,48706341000103,26513744000101,35746852000107,27331229000165,33652365000150,"
16,0.045,0,0.044,0.006,0.015,"09196078000106,29479927000138,26794946000160,33650301000110,08985995000107,23721750000158,27188579000114,12702717000164,28977040000107,41924082000148,"
16,0.045,0,0.044,0.006,0.02,"23690474000108,17503933000102,27719400000108,30256562000161,16932748000162,15111975000164,73499238000187,"
16,0.045,0,0.044,0.006,0.025,"18552346000168,"
16,0.045,0,0.044,0.006,0.0275,"17991841000100,"
16,0.0499,1,0.044,0.006,0.0,"37588012000199,25163107000181,05592528000110,35208518000108,35896889000111,22153470000128,82937293000100,05725559000100,40225022000174,37942245000148,28780537000130,11742857000101,18727053000174,16501555000157,37375198000106,79750152000161,31056065000182,33946231000141,10463951000150,33657248000189,27734451000109,20855875000182,GYRA,"
16,0.0499,1,0.044,0.006,0.0001,"75049915000190,"
16,0.0499,1,0.044,0.006,0.005,"29494568000198,08640386000108,43059490000104,42232428000100,11158190000196,17894109000112,42958145000140,42447604000120,41681802000191,34976975000171,33294582000115,01532835000155,02047384000123,03796818000150,14490065000177,"
16,0.0499,1,0.044,0.006,0.01,"18696927000173,30598075000187,44500339000122,31570433000106,22619138000106,38012186000171,36636352000185,31689620000103,36946097000177,23659025000105,27914090000182,34059872000147,33058052000178,39622491000148,89609851000140,10620932000190,06889250000100,37573613000128,37385874000114,19250309000168,34896052000100,33546628000146,17112767000105,21664157000191,33266898000101,09306604000135,32465248000114,24076128000105,30992707000192,28341296000123,38118327000135,28629250000104,31769665000198,31735612000156,11897817000120,43204704000199,37172981000164,39281210000130,24387319000180,38481109000160,22349842000196,09535727000148,40156387000194,18032084000100,15665964000126,36183091000195,25225706000182,22188135000165,40280209000170,29774565000108,33288665000100,33869229000116,18969415000133,38731792000147,39315420000100,27540211000173,26533790000164,40458764000140,37939272000161,34030055000166,26760734000162,06334222000127,37928180000186,40500032000170,35352465000196,39654393000192,30267316000105,31396240000180,20101730000196,33292874000119,32804920000159,29558757000187,32188814000198,35071561000166,34893460000108,36712631000180,36274164000154,30917917000116,32582856000109,40771520000112,37077762000104,29815401000181,34766093000181,32214696000145,10257807000168,20354810000153,37768558000121,24408289000140,13486486000161,17188060000182,13303397000132,36576329000142,30688514000142,31068314000150,32171096000147,05996222000120,41361672000100,39358493000171,29072820000170,37162748000109,42248182000164,41831151000179,38307475000106,21743699000150,28915727000118,35663685000130,41570301000138,17179359000170,26786644000140,35289055000148,31587484000140,42782728000162,42837497000147,35155654000179,31700851000170,11787949000108,37563031000160,29978175000150,36827544000179,41552607000161,31657907000151,40218850000185,38045664000140,36444674000122,43037011000159,33088484000121,42750456000119,02412812000170,42499146000173,43352321000168,42862495000108,40005744000113,41980316000174,18619450000122,40602284000100,42283377000145,25060390000116,26501229000284,37085266000194,42190478000171,33101133000103,38480239000189,25019277000197,39348929000141,33554516000137,34635413000164,16796280000126,35629479000104,31569951000100,40750178000174,31673780000164,41698581000164,19484977000150,31261619000183,43560534000185,43382968000132,35205713000176,11290027000182,13778198000180,28842422000123,35727824000142,40268379000130,19640071000187,43900099000190,39952418000134,18553292000155,42783694000120,13885290000140,12823388000100,43825210000121,29520353000102,37278898000174,31286996000177,33808062000183,36288957000122,36725501000182,40000935000192,43921372000163,42012282000197,44170279000127,07746938000285,43843435000100,15128352000102,42679680000161,42503348000141,44433690000148,37963771000194,92710597000186,30066006000122,19615240000129,15334538000100,06083089000183,12523811000156,23102266000140,03118450000171,32918215000182,34911536000180,28495236000165,29573368000120,38203264000115,17320095000123,19264388000166,27569906000188,39462482000137,17814862000150,41466661000194,44497939000189,44522660000108,36688196000104,29240060000163,37411689000157,31296153000151,33820778000104,34806971000145,42519809000174,25976940000141,37582930000100,38250701000151,34791440000126,34467224000120,41520281000190,24095261000109,43918407000105,37920988000117,18270257000129,88127655000176,41899632000116,42883168000132,45442550000107,43475970000156,29436892000150,32271271000178,40751980000189,34397731000134,42277573000107,44497095000176,44694308000150,43719281000140,14282003000170,37896589000168,31737462000110,39771642000120,45528529000110,22677662000133,02205849000127,39897395000102,39731375000167,30447830000122,39966336000149,34275525000151,41435259000142,45723388000197,45731686000129,42926780000145,45175729000137,45506640000106,44192382000178,45437200000144,41127417000105,21402734000177,01688385000194,44535238000197,22208602000171,44841249000103,45008291000100,45829696000100,45661933000168,45057891000150,37746649000166,45893582000110,37182621000143,18006295000179,32897863000108,14733107000153,46156795000122,45625979000121,46494108000189,37776850000196,38427210000133,46645062000151,46383533000109,41247827000181,36743659000185,31852178000194,46532973000172,42978356000144,12616492000123,24843210000100,36284433000163,21674763000198,15039046000191,20631733000131,26840524000184,54517628000198,00800199000132,16881561000187,47035961000103,36283402000198,34790447000123,17902712000107,17868301000134,46896279000134,40033116000141,31575336000106,34368000000160,46519763000144,44267371000100,46774353000140,46151682000134,22501342000128,10651866000116,46583172000136,36402379000103,45185662000111,12517073000134,46956642000160,33996366000111,30740888000160,46905708000192,30770695000151,42369408000185,27193833000172,44119665000194,31556105000155,45793219000123,45232324000193,43274056000147,44985287000121,38063252000132,32988219000137,37941625000168,29247262000137,47499729000118,47644693000119,45718411000155,46211885000179,41908469000100,39844328000120,37678004000133,47918213000160,46710016000199,39361477000138,27742328000130,34710503000172,02779256000174,37860928000156,08194413000166,61079232000171,48444417000170,48310037000142,42457953000123,48066772000152,42126269000169,46677425000130,39879188000125,43854370000107,45634358000104,47673123000157,48706341000103,26513744000101,35746852000107,27331229000165,33652365000150,"
16,0.0499,1,0.044,0.006,0.015,"09196078000106,29479927000138,26794946000160,33650301000110,08985995000107,23721750000158,27188579000114,12702717000164,28977040000107,41924082000148,"
16,0.0499,1,0.044,0.006,0.02,"23690474000108,17503933000102,27719400000108,30256562000161,16932748000162,15111975000164,73499238000187,"
16,0.0499,1,0.044,0.006,0.025,"18552346000168,"
16,0.0499,1,0.044,0.006,0.0275,"17991841000100,"
17,0.0225,5,0.044,0.006,0.0,"37588012000199,25163107000181,05592528000110,35208518000108,35896889000111,22153470000128,82937293000100,05725559000100,40225022000174,37942245000148,28780537000130,11742857000101,18727053000174,16501555000157,37375198000106,79750152000161,31056065000182,33946231000141,10463951000150,33657248000189,27734451000109,20855875000182,GYRA,"
17,0.0225,5,0.044,0.006,0.0001,"75049915000190,"
