period,interest,riskGroup,gyraMaisFee,bankFee,partnerFee,type
14,0.0299,3,0.0405,0.0095,0.015,"09196078000106,29479927000138,33650301000110,"
14,0.0299,3,0.0405,0.0095,0.02,"00213648000146,17503933000102,23690474000108,22153470000128,"
14,0.0299,3,0.0405,0.0095,0.025,"18552346000168,"
14,0.0299,3,0.0405,0.0095,0.0275,"17991841000100,"
14,0.0299,3,0.0405,0.0095,0.015,"26794946000160,"
14,0.0325,0,0.0405,0.0095,0.025,"18552346000168,"
14,0.0325,1,0.0405,0.0095,0.025,"18552346000168,"
14,0.0325,2,0.0405,0.0095,0.025,"18552346000168,"
14,0.0399,0,0.0405,0.0095,0.015,"29479927000138,"
14,0.0399,0,0.0405,0.0095,0.0275,"17991841000100,"
14,0.0399,0,0.0405,0.0095,0.015,"26794946000160,"
14,0.0399,1,0.0405,0.0095,0.015,"29479927000138,"
14,0.0399,1,0.0405,0.0095,0.0275,"17991841000100,"
14,0.0399,1,0.0405,0.0095,0.015,"26794946000160,"
14,0.0399,2,0.0405,0.0095,0.0,"GYRA,22359832000131,82937293000100,"
14,0.0399,2,0.0405,0.0095,0.01,"18696927000173,34244163000131,30598075000187,26341030000155,38262677000170,14596052000187,33939595000102,38012186000171,31570433000106,22619138000106,36636352000185,31689620000103,34008099000190,36946097000177,23659025000105,27914090000182,34225004000190,33058052000178,39622491000148,33058052000178,10620932000190,38045664000140,06889250000100,37573613000128,37385874000114,19250309000168,34059872000147,34896052000100,21664157000191,17112767000105,33266898000101,28341296000123,38118327000135,09306604000135,32465248000114,33546628000146,30992707000192,28629250000104,31735612000156,11897817000120,31769665000198,35047953000190,37172981000164,39281210000130,38481109000160,09535727000148,18032084000100,25225706000182,15665964000126,36183091000195,22349842000196,18969415000133,29774565000108,40280209000170,33869229000116,33288665000100,22188135000165,24387319000180,26533790000164,39315420000100,38731792000147,34030055000166,26760734000162,37939272000161,33292874000119,30267316000105,40500032000170,40156387000194,27540211000173,32804920000159,40458764000140,20101730000196,06334222000127,29558757000187,34893460000108,31396240000180,39654393000192,32188814000198,35071561000166,36274164000154,32582856000109,30917917000116,40771520000112,40771520000112,29815401000181,34766093000181,37077762000104,10257807000168,10633902000119,37768558000121,13303397000132,31068314000150,13486486000161,30688514000142,31657907000151,05996222000120,41361672000100,24408289000140,28915727000118,"
14,0.0399,2,0.0405,0.0095,0.015,"09196078000106,29479927000138,33650301000110,"
14,0.0399,2,0.0405,0.0095,0.02,"00213648000146,17503933000102,23690474000108,22153470000128,"
14,0.0399,2,0.0405,0.0095,0.0275,"17991841000100,"
14,0.0399,2,0.0405,0.0095,0.015,"26794946000160,"
14,0.0449,1,0.0405,0.0095,0.0,"GYRA,22359832000131,82937293000100,"
14,0.0449,1,0.0405,0.0095,0.01,"18696927000173,34244163000131,30598075000187,26341030000155,38262677000170,14596052000187,33939595000102,38012186000171,31570433000106,22619138000106,36636352000185,31689620000103,34008099000190,36946097000177,23659025000105,27914090000182,34225004000190,33058052000178,39622491000148,33058052000178,10620932000190,38045664000140,06889250000100,37573613000128,37385874000114,19250309000168,34059872000147,34896052000100,21664157000191,17112767000105,33266898000101,28341296000123,38118327000135,09306604000135,32465248000114,33546628000146,30992707000192,28629250000104,31735612000156,11897817000120,31769665000198,35047953000190,37172981000164,39281210000130,38481109000160,09535727000148,18032084000100,25225706000182,15665964000126,36183091000195,22349842000196,18969415000133,29774565000108,40280209000170,33869229000116,33288665000100,22188135000165,24387319000180,26533790000164,39315420000100,38731792000147,34030055000166,26760734000162,37939272000161,33292874000119,30267316000105,40500032000170,40156387000194,27540211000173,32804920000159,40458764000140,20101730000196,06334222000127,29558757000187,34893460000108,31396240000180,39654393000192,32188814000198,35071561000166,36274164000154,32582856000109,30917917000116,40771520000112,40771520000112,29815401000181,34766093000181,37077762000104,10257807000168,10633902000119,37768558000121,13303397000132,31068314000150,13486486000161,30688514000142,31657907000151,05996222000120,41361672000100,24408289000140,28915727000118,"
14,0.0449,1,0.0405,0.0095,0.015,"09196078000106,33650301000110,"
14,0.0449,1,0.0405,0.0095,0.02,"00213648000146,17503933000102,23690474000108,22153470000128,"
14,0.0599,0,0.0405,0.0095,0.0,"GYRA,22359832000131,82937293000100,"
14,0.0599,0,0.0405,0.0095,0.01,"18696927000173,34244163000131,30598075000187,26341030000155,38262677000170,14596052000187,33939595000102,38012186000171,31570433000106,22619138000106,36636352000185,31689620000103,34008099000190,36946097000177,23659025000105,27914090000182,34225004000190,33058052000178,39622491000148,33058052000178,10620932000190,38045664000140,06889250000100,37573613000128,37385874000114,19250309000168,34059872000147,34896052000100,21664157000191,17112767000105,33266898000101,28341296000123,38118327000135,09306604000135,32465248000114,33546628000146,30992707000192,28629250000104,31735612000156,11897817000120,31769665000198,35047953000190,37172981000164,39281210000130,38481109000160,09535727000148,18032084000100,25225706000182,15665964000126,36183091000195,22349842000196,18969415000133,29774565000108,40280209000170,33869229000116,33288665000100,22188135000165,24387319000180,26533790000164,39315420000100,38731792000147,34030055000166,26760734000162,37939272000161,33292874000119,30267316000105,40500032000170,40156387000194,27540211000173,32804920000159,40458764000140,20101730000196,06334222000127,29558757000187,34893460000108,31396240000180,39654393000192,32188814000198,35071561000166,36274164000154,32582856000109,30917917000116,40771520000112,40771520000112,29815401000181,34766093000181,37077762000104,10257807000168,10633902000119,37768558000121,13303397000132,31068314000150,13486486000161,30688514000142,31657907000151,05996222000120,41361672000100,24408289000140,28915727000118,"
14,0.0599,0,0.0405,0.0095,0.015,"09196078000106,33650301000110,"
14,0.0599,0,0.0405,0.0095,0.02,"00213648000146,17503933000102,23690474000108,22153470000128,"
15,0.0249,4,0.0405,0.0095,0.0,"GYRA,22359832000131,82937293000100,"
15,0.0249,4,0.0405,0.0095,0.01,"18696927000173,34244163000131,30598075000187,26341030000155,38262677000170,14596052000187,33939595000102,38012186000171,31570433000106,22619138000106,36636352000185,31689620000103,34008099000190,36946097000177,23659025000105,27914090000182,34225004000190,33058052000178,39622491000148,33058052000178,10620932000190,38045664000140,06889250000100,37573613000128,37385874000114,19250309000168,34059872000147,34896052000100,21664157000191,17112767000105,33266898000101,28341296000123,38118327000135,09306604000135,32465248000114,33546628000146,30992707000192,28629250000104,31735612000156,11897817000120,31769665000198,35047953000190,37172981000164,39281210000130,38481109000160,09535727000148,18032084000100,25225706000182,15665964000126,36183091000195,22349842000196,18969415000133,29774565000108,40280209000170,33869229000116,33288665000100,22188135000165,24387319000180,26533790000164,39315420000100,38731792000147,34030055000166,26760734000162,37939272000161,33292874000119,30267316000105,40500032000170,40156387000194,27540211000173,32804920000159,40458764000140,20101730000196,06334222000127,29558757000187,34893460000108,31396240000180,39654393000192,32188814000198,35071561000166,36274164000154,32582856000109,30917917000116,40771520000112,40771520000112,29815401000181,34766093000181,37077762000104,10257807000168,10633902000119,37768558000121,13303397000132,31068314000150,13486486000161,30688514000142,31657907000151,05996222000120,41361672000100,24408289000140,28915727000118,"
15,0.0249,4,0.0405,0.0095,0.015,"09196078000106,33650301000110,"
15,0.0249,4,0.0405,0.0095,0.02,"00213648000146,17503933000102,23690474000108,22153470000128,"
15,0.0249,4,0.0405,0.0095,0.025,"18552346000168,"
15,0.0249,4,0.0405,0.0095,0.0275,"17991841000100,"
15,0.0249,5,0.0405,0.0095,0.0,"GYRA,22359832000131,82937293000100,"
15,0.0249,5,0.0405,0.0095,0.01,"18696927000173,34244163000131,30598075000187,26341030000155,38262677000170,14596052000187,33939595000102,38012186000171,31570433000106,22619138000106,36636352000185,31689620000103,34008099000190,36946097000177,23659025000105,27914090000182,34225004000190,33058052000178,39622491000148,33058052000178,10620932000190,38045664000140,06889250000100,37573613000128,37385874000114,19250309000168,34059872000147,34896052000100,21664157000191,17112767000105,33266898000101,28341296000123,38118327000135,09306604000135,32465248000114,33546628000146,30992707000192,28629250000104,31735612000156,11897817000120,31769665000198,35047953000190,37172981000164,39281210000130,38481109000160,09535727000148,18032084000100,25225706000182,15665964000126,36183091000195,22349842000196,18969415000133,29774565000108,40280209000170,33869229000116,33288665000100,22188135000165,24387319000180,26533790000164,39315420000100,38731792000147,34030055000166,26760734000162,37939272000161,33292874000119,30267316000105,40500032000170,40156387000194,27540211000173,32804920000159,40458764000140,20101730000196,06334222000127,29558757000187,34893460000108,31396240000180,39654393000192,32188814000198,35071561000166,36274164000154,32582856000109,30917917000116,40771520000112,40771520000112,29815401000181,34766093000181,37077762000104,10257807000168,10633902000119,37768558000121,13303397000132,31068314000150,13486486000161,30688514000142,31657907000151,05996222000120,41361672000100,24408289000140,28915727000118,"
15,0.0249,5,0.0405,0.0095,0.015,"09196078000106,33650301000110,"
15,0.0249,5,0.0405,0.0095,0.02,"00213648000146,17503933000102,23690474000108,22153470000128,"
15,0.0249,5,0.0405,0.0095,0.025,"18552346000168,"
15,0.0249,5,0.0405,0.0095,0.0275,"17991841000100,"
15,0.0275,4,0.0405,0.0095,0.015,"29479927000138,"
15,0.0275,4,0.0405,0.0095,0.015,"26794946000160,"
15,0.0275,5,0.0405,0.0095,0.015,"29479927000138,"
15,0.0275,5,0.0405,0.0095,0.015,"26794946000160,"
15,0.0299,3,0.0405,0.0095,0.0,"GYRA,22359832000131,82937293000100,"
15,0.0299,3,0.0405,0.0095,0.01,"18696927000173,34244163000131,30598075000187,26341030000155,38262677000170,14596052000187,33939595000102,38012186000171,31570433000106,22619138000106,36636352000185,31689620000103,34008099000190,36946097000177,23659025000105,27914090000182,34225004000190,33058052000178,39622491000148,33058052000178,10620932000190,38045664000140,06889250000100,37573613000128,37385874000114,19250309000168,34059872000147,34896052000100,21664157000191,17112767000105,33266898000101,28341296000123,38118327000135,09306604000135,32465248000114,33546628000146,30992707000192,28629250000104,31735612000156,11897817000120,31769665000198,35047953000190,37172981000164,39281210000130,38481109000160,09535727000148,18032084000100,25225706000182,15665964000126,36183091000195,22349842000196,18969415000133,29774565000108,40280209000170,33869229000116,33288665000100,22188135000165,24387319000180,26533790000164,39315420000100,38731792000147,34030055000166,26760734000162,37939272000161,33292874000119,30267316000105,40500032000170,40156387000194,27540211000173,32804920000159,40458764000140,20101730000196,06334222000127,29558757000187,34893460000108,31396240000180,39654393000192,32188814000198,35071561000166,36274164000154,32582856000109,30917917000116,40771520000112,40771520000112,29815401000181,34766093000181,37077762000104,10257807000168,10633902000119,37768558000121,13303397000132,31068314000150,13486486000161,30688514000142,31657907000151,05996222000120,41361672000100,24408289000140,28915727000118,"
15,0.0299,3,0.0405,0.0095,0.015,"09196078000106,29479927000138,33650301000110,"
15,0.0299,3,0.0405,0.0095,0.02,"00213648000146,17503933000102,23690474000108,22153470000128,"
15,0.0299,3,0.0405,0.0095,0.025,"18552346000168,"
15,0.0299,3,0.0405,0.0095,0.0275,"17991841000100,"
15,0.0299,3,0.0405,0.0095,0.015,"26794946000160,"
15,0.0325,0,0.0405,0.0095,0.025,"18552346000168,"
15,0.0325,1,0.0405,0.0095,0.025,"18552346000168,"
15,0.0325,2,0.0405,0.0095,0.025,"18552346000168,"
15,0.0399,0,0.0405,0.0095,0.015,"29479927000138,"
15,0.0399,0,0.0405,0.0095,0.0275,"17991841000100,"
15,0.0399,0,0.0405,0.0095,0.015,"26794946000160,"
15,0.0399,1,0.0405,0.0095,0.015,"29479927000138,"
15,0.0399,1,0.0405,0.0095,0.0275,"17991841000100,"
15,0.0399,1,0.0405,0.0095,0.015,"26794946000160,"
15,0.0399,2,0.0405,0.0095,0.0,"GYRA,22359832000131,82937293000100,"
15,0.0399,2,0.0405,0.0095,0.01,"18696927000173,34244163000131,30598075000187,26341030000155,38262677000170,14596052000187,33939595000102,38012186000171,31570433000106,22619138000106,36636352000185,31689620000103,34008099000190,36946097000177,23659025000105,27914090000182,34225004000190,33058052000178,39622491000148,33058052000178,10620932000190,38045664000140,06889250000100,37573613000128,37385874000114,19250309000168,34059872000147,34896052000100,21664157000191,17112767000105,33266898000101,28341296000123,38118327000135,09306604000135,32465248000114,33546628000146,30992707000192,28629250000104,31735612000156,11897817000120,31769665000198,35047953000190,37172981000164,39281210000130,38481109000160,09535727000148,18032084000100,25225706000182,15665964000126,36183091000195,22349842000196,18969415000133,29774565000108,40280209000170,33869229000116,33288665000100,22188135000165,24387319000180,26533790000164,39315420000100,38731792000147,34030055000166,26760734000162,37939272000161,33292874000119,30267316000105,40500032000170,40156387000194,27540211000173,32804920000159,40458764000140,20101730000196,06334222000127,29558757000187,34893460000108,31396240000180,39654393000192,32188814000198,35071561000166,36274164000154,32582856000109,30917917000116,40771520000112,40771520000112,29815401000181,34766093000181,37077762000104,10257807000168,10633902000119,37768558000121,13303397000132,31068314000150,13486486000161,30688514000142,31657907000151,05996222000120,41361672000100,24408289000140,28915727000118,"
15,0.0399,2,0.0405,0.0095,0.015,"09196078000106,29479927000138,33650301000110,"
15,0.0399,2,0.0405,0.0095,0.02,"00213648000146,17503933000102,23690474000108,22153470000128,"
15,0.0399,2,0.0405,0.0095,0.0275,"17991841000100,"
15,0.0399,2,0.0405,0.0095,0.015,"26794946000160,"
15,0.0449,1,0.0405,0.0095,0.0,"GYRA,22359832000131,82937293000100,"
15,0.0449,1,0.0405,0.0095,0.01,"18696927000173,34244163000131,30598075000187,26341030000155,38262677000170,14596052000187,33939595000102,38012186000171,31570433000106,22619138000106,36636352000185,31689620000103,34008099000190,36946097000177,23659025000105,27914090000182,34225004000190,33058052000178,39622491000148,33058052000178,10620932000190,38045664000140,06889250000100,37573613000128,37385874000114,19250309000168,34059872000147,34896052000100,21664157000191,17112767000105,33266898000101,28341296000123,38118327000135,09306604000135,32465248000114,33546628000146,30992707000192,28629250000104,31735612000156,11897817000120,31769665000198,35047953000190,37172981000164,39281210000130,38481109000160,09535727000148,18032084000100,25225706000182,15665964000126,36183091000195,22349842000196,18969415000133,29774565000108,40280209000170,33869229000116,33288665000100,22188135000165,24387319000180,26533790000164,39315420000100,38731792000147,34030055000166,26760734000162,37939272000161,33292874000119,30267316000105,40500032000170,40156387000194,27540211000173,32804920000159,40458764000140,20101730000196,06334222000127,29558757000187,34893460000108,31396240000180,39654393000192,32188814000198,35071561000166,36274164000154,32582856000109,30917917000116,40771520000112,40771520000112,29815401000181,34766093000181,37077762000104,10257807000168,10633902000119,37768558000121,13303397000132,31068314000150,13486486000161,30688514000142,31657907000151,05996222000120,41361672000100,24408289000140,28915727000118,"
15,0.0449,1,0.0405,0.0095,0.015,"09196078000106,33650301000110,"
15,0.0449,1,0.0405,0.0095,0.02,"00213648000146,17503933000102,23690474000108,22153470000128,"
15,0.0599,0,0.0405,0.0095,0.0,"GYRA,22359832000131,82937293000100,"
15,0.0599,0,0.0405,0.0095,0.01,"18696927000173,34244163000131,30598075000187,26341030000155,38262677000170,14596052000187,33939595000102,38012186000171,31570433000106,22619138000106,36636352000185,31689620000103,34008099000190,36946097000177,23659025000105,27914090000182,34225004000190,33058052000178,39622491000148,33058052000178,10620932000190,38045664000140,06889250000100,37573613000128,37385874000114,19250309000168,34059872000147,34896052000100,21664157000191,17112767000105,33266898000101,28341296000123,38118327000135,09306604000135,32465248000114,33546628000146,30992707000192,28629250000104,31735612000156,11897817000120,31769665000198,35047953000190,37172981000164,39281210000130,38481109000160,09535727000148,18032084000100,25225706000182,15665964000126,36183091000195,22349842000196,18969415000133,29774565000108,40280209000170,33869229000116,33288665000100,22188135000165,24387319000180,26533790000164,39315420000100,38731792000147,34030055000166,26760734000162,37939272000161,33292874000119,30267316000105,40500032000170,40156387000194,27540211000173,32804920000159,40458764000140,20101730000196,06334222000127,29558757000187,34893460000108,31396240000180,39654393000192,32188814000198,35071561000166,36274164000154,32582856000109,30917917000116,40771520000112,40771520000112,29815401000181,34766093000181,37077762000104,10257807000168,10633902000119,37768558000121,13303397000132,31068314000150,13486486000161,30688514000142,31657907000151,05996222000120,41361672000100,24408289000140,28915727000118,"
15,0.0599,0,0.0405,0.0095,0.015,"09196078000106,33650301000110,"
15,0.0599,0,0.0405,0.0095,0.02,"00213648000146,17503933000102,23690474000108,22153470000128,"
16,0.0249,4,0.0405,0.0095,0.0,"GYRA,22359832000131,82937293000100,"
16,0.0249,4,0.0405,0.0095,0.01,"18696927000173,34244163000131,30598075000187,26341030000155,38262677000170,14596052000187,33939595000102,38012186000171,31570433000106,22619138000106,36636352000185,31689620000103,34008099000190,36946097000177,23659025000105,27914090000182,34225004000190,33058052000178,39622491000148,33058052000178,10620932000190,38045664000140,06889250000100,37573613000128,37385874000114,19250309000168,34059872000147,34896052000100,21664157000191,17112767000105,33266898000101,28341296000123,38118327000135,09306604000135,32465248000114,33546628000146,30992707000192,28629250000104,31735612000156,11897817000120,31769665000198,35047953000190,37172981000164,39281210000130,38481109000160,09535727000148,18032084000100,25225706000182,15665964000126,36183091000195,22349842000196,18969415000133,29774565000108,40280209000170,33869229000116,33288665000100,22188135000165,24387319000180,26533790000164,39315420000100,38731792000147,34030055000166,26760734000162,37939272000161,33292874000119,30267316000105,40500032000170,40156387000194,27540211000173,32804920000159,40458764000140,20101730000196,06334222000127,29558757000187,34893460000108,31396240000180,39654393000192,32188814000198,35071561000166,36274164000154,32582856000109,30917917000116,40771520000112,40771520000112,29815401000181,34766093000181,37077762000104,10257807000168,10633902000119,37768558000121,13303397000132,31068314000150,13486486000161,30688514000142,31657907000151,05996222000120,41361672000100,24408289000140,28915727000118,"
16,0.0249,4,0.0405,0.0095,0.015,"09196078000106,33650301000110,"
16,0.0249,4,0.0405,0.0095,0.02,"00213648000146,17503933000102,23690474000108,22153470000128,"
16,0.0249,4,0.0405,0.0095,0.025,"18552346000168,"
16,0.0249,4,0.0405,0.0095,0.0275,"17991841000100,"
16,0.0249,5,0.0405,0.0095,0.0,"GYRA,22359832000131,82937293000100,"
16,0.0249,5,0.0405,0.0095,0.01,"18696927000173,34244163000131,30598075000187,26341030000155,38262677000170,14596052000187,33939595000102,38012186000171,31570433000106,22619138000106,36636352000185,31689620000103,34008099000190,36946097000177,23659025000105,27914090000182,34225004000190,33058052000178,39622491000148,33058052000178,10620932000190,38045664000140,06889250000100,37573613000128,37385874000114,19250309000168,34059872000147,34896052000100,21664157000191,17112767000105,33266898000101,28341296000123,38118327000135,09306604000135,32465248000114,33546628000146,30992707000192,28629250000104,31735612000156,11897817000120,31769665000198,35047953000190,37172981000164,39281210000130,38481109000160,09535727000148,18032084000100,25225706000182,15665964000126,36183091000195,22349842000196,18969415000133,29774565000108,40280209000170,33869229000116,33288665000100,22188135000165,24387319000180,26533790000164,39315420000100,38731792000147,34030055000166,26760734000162,37939272000161,33292874000119,30267316000105,40500032000170,40156387000194,27540211000173,32804920000159,40458764000140,20101730000196,06334222000127,29558757000187,34893460000108,31396240000180,39654393000192,32188814000198,35071561000166,36274164000154,32582856000109,30917917000116,40771520000112,40771520000112,29815401000181,34766093000181,37077762000104,10257807000168,10633902000119,37768558000121,13303397000132,31068314000150,13486486000161,30688514000142,31657907000151,05996222000120,41361672000100,24408289000140,28915727000118,"
16,0.0249,5,0.0405,0.0095,0.015,"09196078000106,33650301000110,"
16,0.0249,5,0.0405,0.0095,0.02,"00213648000146,17503933000102,23690474000108,22153470000128,"
16,0.0249,5,0.0405,0.0095,0.025,"18552346000168,"
16,0.0249,5,0.0405,0.0095,0.0275,"17991841000100,"
16,0.0275,4,0.0405,0.0095,0.015,"29479927000138,"
16,0.0275,4,0.0405,0.0095,0.015,"26794946000160,"
16,0.0275,5,0.0405,0.0095,0.015,"29479927000138,"
16,0.0275,5,0.0405,0.0095,0.015,"26794946000160,"
16,0.0299,3,0.0405,0.0095,0.0,"GYRA,22359832000131,82937293000100,"
16,0.0299,3,0.0405,0.0095,0.01,"18696927000173,34244163000131,30598075000187,26341030000155,38262677000170,14596052000187,33939595000102,38012186000171,31570433000106,22619138000106,36636352000185,31689620000103,34008099000190,36946097000177,23659025000105,27914090000182,34225004000190,33058052000178,39622491000148,33058052000178,10620932000190,38045664000140,06889250000100,37573613000128,37385874000114,19250309000168,34059872000147,34896052000100,21664157000191,17112767000105,33266898000101,28341296000123,38118327000135,09306604000135,32465248000114,33546628000146,30992707000192,28629250000104,31735612000156,11897817000120,31769665000198,35047953000190,37172981000164,39281210000130,38481109000160,09535727000148,18032084000100,25225706000182,15665964000126,36183091000195,22349842000196,18969415000133,29774565000108,40280209000170,33869229000116,33288665000100,22188135000165,24387319000180,26533790000164,39315420000100,38731792000147,34030055000166,26760734000162,37939272000161,33292874000119,30267316000105,40500032000170,40156387000194,27540211000173,32804920000159,40458764000140,20101730000196,06334222000127,29558757000187,34893460000108,31396240000180,39654393000192,32188814000198,35071561000166,36274164000154,32582856000109,30917917000116,40771520000112,40771520000112,29815401000181,34766093000181,37077762000104,10257807000168,10633902000119,37768558000121,13303397000132,31068314000150,13486486000161,30688514000142,31657907000151,05996222000120,41361672000100,24408289000140,28915727000118,"
16,0.0299,3,0.0405,0.0095,0.015,"09196078000106,29479927000138,33650301000110,"
16,0.0299,3,0.0405,0.0095,0.02,"00213648000146,17503933000102,23690474000108,22153470000128,"
16,0.0299,3,0.0405,0.0095,0.025,"18552346000168,"
16,0.0299,3,0.0405,0.0095,0.0275,"17991841000100,"
16,0.0299,3,0.0405,0.0095,0.015,"26794946000160,"
16,0.0325,0,0.0405,0.0095,0.025,"18552346000168,"
16,0.0325,1,0.0405,0.0095,0.025,"18552346000168,"
16,0.0325,2,0.0405,0.0095,0.025,"18552346000168,"
16,0.0399,0,0.0405,0.0095,0.015,"29479927000138,"
16,0.0399,0,0.0405,0.0095,0.0275,"17991841000100,"
16,0.0399,0,0.0405,0.0095,0.015,"26794946000160,"
16,0.0399,1,0.0405,0.0095,0.015,"29479927000138,"
16,0.0399,1,0.0405,0.0095,0.0275,"17991841000100,"
16,0.0399,1,0.0405,0.0095,0.015,"26794946000160,"
16,0.0399,2,0.0405,0.0095,0.0,"GYRA,22359832000131,82937293000100,"
16,0.0399,2,0.0405,0.0095,0.01,"18696927000173,34244163000131,30598075000187,26341030000155,38262677000170,14596052000187,33939595000102,38012186000171,31570433000106,22619138000106,36636352000185,31689620000103,34008099000190,36946097000177,23659025000105,27914090000182,34225004000190,33058052000178,39622491000148,33058052000178,10620932000190,38045664000140,06889250000100,37573613000128,37385874000114,19250309000168,34059872000147,34896052000100,21664157000191,17112767000105,33266898000101,28341296000123,38118327000135,09306604000135,32465248000114,33546628000146,30992707000192,28629250000104,31735612000156,11897817000120,31769665000198,35047953000190,37172981000164,39281210000130,38481109000160,09535727000148,18032084000100,25225706000182,15665964000126,36183091000195,22349842000196,18969415000133,29774565000108,40280209000170,33869229000116,33288665000100,22188135000165,24387319000180,26533790000164,39315420000100,38731792000147,34030055000166,26760734000162,37939272000161,33292874000119,30267316000105,40500032000170,40156387000194,27540211000173,32804920000159,40458764000140,20101730000196,06334222000127,29558757000187,34893460000108,31396240000180,39654393000192,32188814000198,35071561000166,36274164000154,32582856000109,30917917000116,40771520000112,40771520000112,29815401000181,34766093000181,37077762000104,10257807000168,10633902000119,37768558000121,13303397000132,31068314000150,13486486000161,30688514000142,31657907000151,05996222000120,41361672000100,24408289000140,28915727000118,"
16,0.0399,2,0.0405,0.0095,0.015,"09196078000106,29479927000138,33650301000110,"
16,0.0399,2,0.0405,0.0095,0.02,"00213648000146,17503933000102,23690474000108,22153470000128,"
16,0.0399,2,0.0405,0.0095,0.0275,"17991841000100,"
16,0.0399,2,0.0405,0.0095,0.015,"26794946000160,"
16,0.0449,1,0.0405,0.0095,0.0,"GYRA,22359832000131,82937293000100,"
16,0.0449,1,0.0405,0.0095,0.01,"18696927000173,34244163000131,30598075000187,26341030000155,38262677000170,14596052000187,33939595000102,38012186000171,31570433000106,22619138000106,36636352000185,31689620000103,34008099000190,36946097000177,23659025000105,27914090000182,34225004000190,33058052000178,39622491000148,33058052000178,10620932000190,38045664000140,06889250000100,37573613000128,37385874000114,19250309000168,34059872000147,34896052000100,21664157000191,17112767000105,33266898000101,28341296000123,38118327000135,09306604000135,32465248000114,33546628000146,30992707000192,28629250000104,31735612000156,11897817000120,31769665000198,35047953000190,37172981000164,39281210000130,38481109000160,09535727000148,18032084000100,25225706000182,15665964000126,36183091000195,22349842000196,18969415000133,29774565000108,40280209000170,33869229000116,33288665000100,22188135000165,24387319000180,26533790000164,39315420000100,38731792000147,34030055000166,26760734000162,37939272000161,33292874000119,30267316000105,40500032000170,40156387000194,27540211000173,32804920000159,40458764000140,20101730000196,06334222000127,29558757000187,34893460000108,31396240000180,39654393000192,32188814000198,35071561000166,36274164000154,32582856000109,30917917000116,40771520000112,40771520000112,29815401000181,34766093000181,37077762000104,10257807000168,10633902000119,37768558000121,13303397000132,31068314000150,13486486000161,30688514000142,31657907000151,05996222000120,41361672000100,24408289000140,28915727000118,"
16,0.0449,1,0.0405,0.0095,0.015,"09196078000106,33650301000110,"
16,0.0449,1,0.0405,0.0095,0.02,"00213648000146,17503933000102,23690474000108,22153470000128,"
16,0.0599,0,0.0405,0.0095,0.0,"GYRA,22359832000131,82937293000100,"
16,0.0599,0,0.0405,0.0095,0.01,"18696927000173,34244163000131,30598075000187,26341030000155,38262677000170,14596052000187,33939595000102,38012186000171,31570433000106,22619138000106,36636352000185,31689620000103,34008099000190,36946097000177,23659025000105,27914090000182,34225004000190,33058052000178,39622491000148,33058052000178,10620932000190,38045664000140,06889250000100,37573613000128,37385874000114,19250309000168,34059872000147,34896052000100,21664157000191,17112767000105,33266898000101,28341296000123,38118327000135,09306604000135,32465248000114,33546628000146,30992707000192,28629250000104,31735612000156,11897817000120,31769665000198,35047953000190,37172981000164,39281210000130,38481109000160,09535727000148,18032084000100,25225706000182,15665964000126,36183091000195,22349842000196,18969415000133,29774565000108,40280209000170,33869229000116,33288665000100,22188135000165,24387319000180,26533790000164,39315420000100,38731792000147,34030055000166,26760734000162,37939272000161,33292874000119,30267316000105,40500032000170,40156387000194,27540211000173,32804920000159,40458764000140,20101730000196,06334222000127,29558757000187,34893460000108,31396240000180,39654393000192,32188814000198,35071561000166,36274164000154,32582856000109,30917917000116,40771520000112,40771520000112,29815401000181,34766093000181,37077762000104,10257807000168,10633902000119,37768558000121,13303397000132,31068314000150,13486486000161,30688514000142,31657907000151,05996222000120,41361672000100,24408289000140,28915727000118,"
16,0.0599,0,0.0405,0.0095,0.015,"09196078000106,33650301000110,"
16,0.0599,0,0.0405,0.0095,0.02,"00213648000146,17503933000102,23690474000108,22153470000128,"
17,0.0249,4,0.0405,0.0095,0.0,"GYRA,22359832000131,82937293000100,"
17,0.0249,4,0.0405,0.0095,0.01,"18696927000173,34244163000131,30598075000187,26341030000155,38262677000170,14596052000187,33939595000102,38012186000171,31570433000106,22619138000106,36636352000185,31689620000103,34008099000190,36946097000177,23659025000105,27914090000182,34225004000190,33058052000178,39622491000148,33058052000178,10620932000190,38045664000140,06889250000100,37573613000128,37385874000114,19250309000168,34059872000147,34896052000100,21664157000191,17112767000105,33266898000101,28341296000123,38118327000135,09306604000135,32465248000114,33546628000146,30992707000192,28629250000104,31735612000156,11897817000120,31769665000198,35047953000190,37172981000164,39281210000130,38481109000160,09535727000148,18032084000100,25225706000182,15665964000126,36183091000195,22349842000196,18969415000133,29774565000108,40280209000170,33869229000116,33288665000100,22188135000165,24387319000180,26533790000164,39315420000100,38731792000147,34030055000166,26760734000162,37939272000161,33292874000119,30267316000105,40500032000170,40156387000194,27540211000173,32804920000159,40458764000140,20101730000196,06334222000127,29558757000187,34893460000108,31396240000180,39654393000192,32188814000198,35071561000166,36274164000154,32582856000109,30917917000116,40771520000112,40771520000112,29815401000181,34766093000181,37077762000104,10257807000168,10633902000119,37768558000121,13303397000132,31068314000150,13486486000161,30688514000142,31657907000151,05996222000120,41361672000100,24408289000140,28915727000118,"
17,0.0249,4,0.0405,0.0095,0.015,"09196078000106,33650301000110,"
